,0,1,2,3
2539,Make It Happen, Mariah Carey,spotify:track:5UVcgBRW78CCcKCopEGAST,1992
2540,Silent Prayer, Shanice,spotify:track:1150hrBaCI6Vs9PBNEeS7m,1992
2541,Not The Only One, Bonnie Raitt,spotify:track:1oSyjLVbcDjXyagb5XJ35K,1992
2542,Closer To Me, The Outfield,spotify:track:7aoVXo6QZxoDM4fyXJpCDz,1992
2543,Sometimes I Rhyme Slow, Nice & Smooth,spotify:track:18Mh3v6rBCCpcNYzyaA2RN,1992
2544,Baby-Baby-Baby, TLC,spotify:track:1zTuB57LYZa7xu7KUH8kF0,1992
2545,Why, Annie Lennox,spotify:track:2fYYmPNwDaNpw1KRSxpQ5H,1992
2546,Why Me Baby?, Keith Sweat,spotify:track:1VuMn6mB0xEzgWq48EmMZM,1992
2547,Take This Heart, Richard Marx,spotify:track:1aHCn2d62m0Gghu0nLeaw3,1992
2548,Honey Love, R. Kelly & Public Announcement,spotify:track:59xZT3slhiKBT3eqfMwyDy,1992
2549,Everything Changes, Kathy Troccoli,spotify:track:7rJXvz9zXQr9YYdYzeXe7U,1992
2550,Giving Him Something He Can Feel, En Vogue,spotify:track:4htbAEZWr53J08x3dUv00W,1992
2551,Please Dont Go, Boyz II Men,spotify:track:2AFD6YvmJ8eEZAuxiXxFuv,1992
2552,Helluva, Brotherhood Creed,spotify:track:6jYhsewiw0eMjtvMS8Lnlt,1992
2553,Fall In Love Again, Eddie Money,spotify:track:3kVsdeo86jZLNvZBoVLgNk,1992
2554,Maria, TKA,spotify:track:2GlCfUheirwLr62pmb6rMt,1992
2555,"Mr. Loverman (From ""Deep Cover"")", Shabba Ranks,N/A,1992
2556,Move This, Technotronic Featuring Ya Kid K,N/A,1992
2557,Strawberry Letter 23, Tevin Campbell,spotify:track:2U96QtBPJE158fZ74GIqQX,1992
2558,Good Stuff, The B-52s,spotify:track:70y8ayO7a32MwwPC0AQruT,1992
2559,Innocent Child, Colourhaus,N/A,1992
2560,Remedy, The Black Crowes,spotify:track:4FgGFfL3FxvNxybHFcaz3m,1992
2561,Anything At All, Mitch Malloy,spotify:track:3AmZlfEuOqyoOfgqrbFPkh,1992
2562,James Brown Is Dead, L.A. Style,spotify:track:5EEsZl9wCWtPHXoi9I9PY7,1992
2563,Never Satisfied, Good 2 Go,N/A,1992
2564,Whatever It Takes (To Make You Stay), Troop,spotify:track:7ypmnQBUevzJdnlUSmdndC,1992
2565,3-2-1 Pump, Redhead Kingpin & The F.B.I.,N/A,1992
2566,Smells Like Nirvana," ""Weird Al"" Yankovic",spotify:track:5Q1qSEtljHQzUygQTt0Ykw,1992
2567,Victim Of The Ghetto, The College Boyz,spotify:track:33hgJSPKUy3WSvyvLAJFmZ,1992
2568,Love Me, Tracie Spencer,spotify:track:0Q7aNolyWuEFAk53EGql50,1992
2569,Will You Marry Me?, Paula Abdul,spotify:track:2I0O4qU0DVUvSCKLW0Bvs6,1992
2570,Boom! I Got Your Boyfriend, MC Luscious,spotify:track:2NKLffvl6LvcJCCA5MG17d,1992
2571,Im The One You Need, Jody Watley,spotify:track:1spskkY6W9x7gg03BoqABI,1992
2572,You Think You Know Her, Cause And Effect,spotify:track:6OUExuMUOP3mJGnS2eA0Rx,1992
2573,Come As You Are, Nirvana,spotify:track:4P5KoWXOxwuobLmHXLMobV,1992
2574,Warm It Up, Kris Kross,spotify:track:4Gv46S98aguDKuKTrbRBus,1992
2575,All Youve Got, RTZ,spotify:track:3WPPoxtp863Y3NdyjuT5Vj,1992
2576,"You Remind Me (From ""Strictly Business"")", Mary J. Blige,spotify:track:0vpxgszVaFz05WUwr1CG2M,1992
2577,57 Channels (And Nothin On), Bruce Springsteen,spotify:track:42eWzCqHuCD5QRwzq3I24e,1992
2578,All Woman, Lisa Stansfield,spotify:track:49HxNFSisJ1QXCfJL1xVD7,1992
2579,Take Time, Chris Walker,spotify:track:4h1uO4VGG5SDkiEaT4EG79,1992
2580,If You Want It, 2nd II None,spotify:track:5MGSSlI7LQxTJ2IJsyRDlq,1992
2581,Scenario, A Tribe Called Quest,spotify:track:0301nLjG0ti26rx5ZmfqtP,1992
2582,Everythings Gonna Be Alright, Naughty By Nature,spotify:track:1KYzOVIcp7Oe6FTuIvHrpz,1992
2583,Nothing Else Matters, Metallica,spotify:track:10igKaIKsSB6ZnWxPxPvKO,1992
2584,Dont Be Afraid, Aaron Hall,spotify:track:7EgBkZlqWRwvjmyc115LLR,1992
2585,This Is The Last Time, Laura Enea,spotify:track:2NiJZ3uFwXXGY93Jz1BT52,1992
2586,The Choice Is Yours, Black Sheep,spotify:track:4k9EkhkFZY8Bk41Qi0Ob7P,1992
2587,High, The Cure,spotify:track:2iVtt0mYIL26IGAgRkhHT5,1992
2588,Twilight Zone, 2 Unlimited,spotify:track:6rEr7AsF3cmfUR3birakRF,1992
2589,Money Dont Matter 2 Night, Prince And The N.P.G.,N/A,1992
2590,Goodbye, Tevin Campbell,spotify:track:2rVXKUyHxMoWk7vTyOcYIH,1992
2591,Your Song, Rod Stewart,spotify:track:0PcUW2K3eOOics13ovzuZv,1992
2592,Baby Hold On To Me, Gerald Levert (Duet With Eddie Levert),N/A,1992
2593,I Wanna Rock, Luke,spotify:track:6BPA3Uzu6xDFTklgeWGqbD,1992
2594,Human Touch/Better Days, Bruce Springsteen,N/A,1992
2595,Sleeping With The Lights On, Curtis Stigers,spotify:track:4FGlBXJbkqhLep9ZWUJfmc,1992
2596,Love You All My Lifetime, Chaka Khan,spotify:track:2yTswsiLkNGzzzX54WroNS,1992
2597,Forever In Your Eyes, Mint Condition,spotify:track:42wQvfr9yRdiUqSabtsWkQ,1992
2598,Please Dont Go, K.W.S.,spotify:track:41DTJjf2ZT7dTuZOKBNKbb,1992
2599,Slowly, Stacy Earl,spotify:track:5d9MHpJcUD6DsoJh0cTf8L,1992
